,timestamp,bpf_block_irq,bpf_cpu_time_us,bpf_net_rx_irq,bpf_net_tx_irq,platform_power,node_type,id
35,1695115768,0.3333333333333333,2433.3333333333335,212.33333333333331,0.0,56.0,1.0,all containers
36,1695115771,0.6666666666666666,2484.0,196.33333333333334,0.3333333333333333,59.0,1.0,all containers
37,1695115774,0.3333333333333333,2448.6666666666665,247.0,0.6666666666666666,56.0,1.0,all containers
38,1695115777,0.6666666666666666,2424.3333333333335,200.66666666666666,0.3333333333333333,56.0,1.0,all containers
39,1695115780,0.3333333333333333,2476.0,201.33333333333331,0.3333333333333333,58.0,1.0,all containers
40,1695115783,0.3333333333333333,2448.6666666666665,251.66666666666666,0.0,58.0,1.0,all containers
41,1695115786,0.6666666666666666,679.0,303.6666666666667,1.0,0.0,1.0,all containers
42,1695115789,0.3333333333333333,642.0,321.33333333333337,0.3333333333333333,0.0,1.0,all containers
43,1695115792,0.6666666666666666,518.0,199.33333333333331,0.0,0.0,1.0,all containers
44,1695115795,0.3333333333333333,489.0,230.33333333333331,0.0,0.0,1.0,all containers
45,1695115798,0.6666666666666666,576.6666666666666,343.0,0.3333333333333333,2.0,1.0,all containers
46,1695115801,0.3333333333333333,4014.666666666667,216.0,0.0,41.0,1.0,all containers
47,1695115804,0.6666666666666666,4279.666666666667,236.66666666666669,0.6666666666666666,41.0,1.0,all containers
48,1695115807,0.3333333333333333,4373.666666666667,208.0,0.0,41.0,1.0,all containers
49,1695115810,0.6666666666666666,4284.333333333333,198.0,0.6666666666666666,40.0,1.0,all containers
50,1695115813,0.3333333333333333,4283.666666666667,255.33333333333334,0.0,42.0,1.0,all containers
51,1695115816,0.6666666666666666,4294.666666666666,238.0,0.6666666666666666,41.0,1.0,all containers
52,1695115819,0.3333333333333333,4348.333333333334,207.33333333333331,0.6666666666666666,40.0,1.0,all containers
53,1695115822,0.6666666666666666,4345.666666666667,185.33333333333331,0.0,42.0,1.0,all containers
54,1695115825,0.3333333333333333,4258.0,250.33333333333331,0.3333333333333333,39.0,1.0,all containers
55,1695115828,0.6666666666666666,4312.0,194.66666666666666,0.0,41.0,1.0,all containers
56,1695115831,0.3333333333333333,884.0,259.3333333333333,1.0,6.0,1.0,all containers
57,1695115834,0.6666666666666666,495.0,380.0,0.3333333333333333,0.0,1.0,all containers
58,1695115837,0.3333333333333333,538.6666666666666,206.0,0.0,0.0,1.0,all containers
59,1695115840,0.6666666666666666,516.3333333333334,178.66666666666669,0.3333333333333333,0.0,1.0,all containers
60,1695115843,0.3333333333333333,613.3333333333334,366.0,0.0,4.0,1.0,all containers
61,1695115846,0.6666666666666666,7101.333333333334,294.6666666666667,0.6666666666666666,47.0,1.0,all containers
62,1695115849,0.3333333333333333,8059.333333333333,187.66666666666666,0.3333333333333333,47.0,1.0,all containers
63,1695115852,0.6666666666666666,8057.333333333334,212.66666666666669,0.3333333333333333,48.0,1.0,all containers
64,1695115855,0.3333333333333333,8022.333333333333,229.33333333333334,0.3333333333333333,49.0,1.0,all containers
65,1695115858,0.6666666666666666,8080.333333333333,206.66666666666666,0.0,50.0,1.0,all containers
66,1695115861,0.3333333333333333,8066.999999999999,189.66666666666669,0.6666666666666666,47.0,1.0,all containers
67,1695115864,0.6666666666666666,8023.666666666667,235.0,0.3333333333333333,48.0,1.0,all containers
68,1695115867,0.3333333333333333,8073.0,200.33333333333334,0.3333333333333333,49.0,1.0,all containers
69,1695115870,0.6666666666666666,8041.666666666667,211.0,0.3333333333333333,48.0,1.0,all containers
70,1695115873,0.3333333333333333,8061.333333333334,225.0,0.3333333333333333,49.0,1.0,all containers
71,1695115876,0.6666666666666666,1762.6666666666667,302.0,1.0,0.0,1.0,all containers
72,1695115879,0.3333333333333333,492.0,363.3333333333333,0.0,2.0,1.0,all containers
73,1695115882,0.6666666666666666,516.3333333333334,185.33333333333334,0.0,0.0,1.0,all containers
74,1695115885,0.3333333333333333,535.3333333333333,228.33333333333334,0.3333333333333333,0.0,1.0,all containers
75,1695115888,0.6666666666666666,588.0,336.66666666666663,0.3333333333333333,5.0,1.0,all containers
76,1695115891,0.3333333333333333,11206.0,234.66666666666666,0.3333333333333333,64.0,1.0,all containers
77,1695115894,0.6666666666666666,14555.666666666666,261.6666666666667,0.6666666666666666,61.0,1.0,all containers
78,1695115897,0.3333333333333333,14615.666666666666,175.0,0.0,61.0,1.0,all containers
79,1695115900,0.6666666666666666,14606.666666666666,208.0,0.6666666666666666,60.0,1.0,all containers
80,1695115903,0.3333333333333333,14634.666666666668,266.66666666666663,0.0,63.0,1.0,all containers
81,1695115906,0.6666666666666666,14565.333333333332,267.3333333333333,0.3333333333333333,62.0,1.0,all containers
82,1695115909,0.3333333333333333,14595.333333333332,191.0,0.3333333333333333,62.0,1.0,all containers
83,1695115912,0.3333333333333333,14587.0,201.33333333333334,0.3333333333333333,61.0,1.0,all containers
84,1695115915,0.6666666666666666,14548.666666666666,243.33333333333334,0.6666666666666666,61.0,1.0,all containers
85,1695115918,0.3333333333333333,14571.0,202.33333333333331,0.3333333333333333,61.0,1.0,all containers
86,1695115921,0.6666666666666666,4287.333333333334,238.66666666666666,1.3333333333333333,3.0,1.0,all containers
87,1695115924,0.3333333333333333,510.0,488.3333333333333,0.0,0.0,1.0,all containers
88,1695115927,0.6666666666666666,522.3333333333334,194.66666666666669,0.3333333333333333,0.0,1.0,all containers
89,1695115930,0.3333333333333333,531.0,216.0,0.3333333333333333,0.0,1.0,all containers
90,1695115933,0.6666666666666666,515.6666666666667,331.0,0.0,0.0,1.0,all containers
91,1695115936,0.3333333333333333,15872.666666666666,342.66666666666663,0.3333333333333333,65.0,1.0,all containers
92,1695115939,0.6666666666666666,23046.666666666668,174.0,0.3333333333333333,67.0,1.0,all containers
93,1695115942,0.3333333333333333,23004.999999999996,216.0,0.0,69.0,1.0,all containers
94,1695115945,0.6666666666666666,22955.333333333332,211.66666666666666,0.6666666666666666,66.0,1.0,all containers
95,1695115948,0.3333333333333333,23003.666666666668,214.33333333333334,0.0,67.0,1.0,all containers
96,1695115951,0.6666666666666666,23010.333333333332,190.0,0.0,69.0,1.0,all containers
97,1695115954,0.3333333333333333,22959.333333333336,262.33333333333337,0.3333333333333333,67.0,1.0,all containers
98,1695115957,0.6666666666666666,22994.666666666668,189.0,0.6666666666666666,66.0,1.0,all containers
99,1695115960,0.3333333333333333,22997.666666666668,181.66666666666666,0.3333333333333333,68.0,1.0,all containers
100,1695115963,0.6666666666666666,23040.0,280.6666666666667,0.3333333333333333,66.0,1.0,all containers
101,1695115966,0.3333333333333333,8170.0,256.6666666666667,1.3333333333333333,0.0,1.0,all containers
102,1695115969,0.6666666666666666,521.3333333333333,535.0,0.3333333333333333,0.0,1.0,all containers
103,1695115972,0.3333333333333333,519.3333333333334,169.66666666666669,0.3333333333333333,0.0,1.0,all containers
104,1695115975,0.6666666666666666,510.33333333333337,253.66666666666669,0.3333333333333333,0.0,1.0,all containers
105,1695115978,0.3333333333333333,517.0,255.66666666666669,0.3333333333333333,0.0,1.0,all containers
106,1695115981,0.3333333333333333,353.3333333333333,272.33333333333337,0.0,68.0,1.0,all containers
107,1695115984,0.3333333333333333,28672.666666666668,212.0,0.3333333333333333,68.0,1.0,all containers
108,1695115987,0.6666666666666666,28609.666666666668,227.66666666666669,0.3333333333333333,69.0,1.0,all containers
109,1695115990,0.3333333333333333,28581.666666666668,192.33333333333334,0.6666666666666666,70.0,1.0,all containers
110,1695115993,0.6666666666666666,28509.333333333332,252.0,0.0,70.0,1.0,all containers
111,1695115996,0.3333333333333333,28644.333333333332,237.0,0.6666666666666666,71.0,1.0,all containers
112,1695115999,0.6666666666666666,28637.666666666668,209.33333333333331,0.0,70.0,1.0,all containers
113,1695116002,0.3333333333333333,28550.666666666664,189.33333333333331,0.6666666666666666,69.0,1.0,all containers
114,1695116005,0.6666666666666666,28606.0,258.0,0.0,69.0,1.0,all containers
115,1695116008,0.3333333333333333,28488.0,191.66666666666666,0.6666666666666666,71.0,1.0,all containers
116,1695116011,0.6666666666666666,10854.333333333334,269.6666666666667,1.6666666666666667,6.0,1.0,all containers
117,1695116014,0.3333333333333333,538.6666666666666,582.0,0.0,0.0,1.0,all containers
118,1695116017,0.6666666666666666,530.0,223.66666666666669,0.3333333333333333,0.0,1.0,all containers
119,1695116020,0.3333333333333333,504.3333333333333,168.33333333333331,0.3333333333333333,0.0,1.0,all containers
120,1695116023,0.6666666666666666,540.3333333333333,365.0,0.0,0.0,1.0,all containers
121,1695116026,0.0,342.6666666666667,289.0,0.0,70.0,1.0,all containers
122,1695116029,0.6666666666666666,28505.0,221.66666666666666,0.0,70.0,1.0,all containers
123,1695116032,0.3333333333333333,28511.0,174.33333333333334,0.3333333333333333,69.0,1.0,all containers
124,1695116035,0.3333333333333333,28549.0,259.0,0.0,68.0,1.0,all containers
125,1695116038,0.6666666666666666,28643.0,179.33333333333334,0.6666666666666666,68.0,1.0,all containers
126,1695116041,0.3333333333333333,28467.000000000004,215.66666666666669,0.3333333333333333,67.0,1.0,all containers
127,1695116044,0.6666666666666666,28543.333333333332,245.00000000000003,0.0,69.0,1.0,all containers
128,1695116047,0.3333333333333333,28545.0,195.33333333333334,0.3333333333333333,71.0,1.0,all containers
129,1695116050,0.6666666666666666,28602.333333333332,202.0,0.0,68.0,1.0,all containers
130,1695116053,0.3333333333333333,28566.333333333332,238.0,0.6666666666666666,70.0,1.0,all containers
131,1695116056,0.6666666666666666,14371.666666666666,290.3333333333333,0.3333333333333333,0.0,1.0,all containers
132,1695116059,0.3333333333333333,520.3333333333334,571.0,1.3333333333333333,0.0,1.0,all containers
133,1695116062,0.6666666666666666,530.0,212.0,0.3333333333333333,0.0,1.0,all containers
134,1695116065,0.3333333333333333,494.66666666666663,215.66666666666669,0.3333333333333333,0.0,1.0,all containers
135,1695116068,0.6666666666666666,483.3333333333333,262.3333333333333,0.0,0.0,1.0,all containers
136,1695116071,0.3333333333333333,521.3333333333334,319.6666666666667,0.6666666666666666,11.0,1.0,all containers
137,1695116074,0.6666666666666666,4274.333333333333,264.0,0.3333333333333333,53.0,1.0,all containers
138,1695116077,0.3333333333333333,4328.0,183.0,0.0,51.0,1.0,all containers
139,1695116080,0.6666666666666666,4315.666666666667,227.33333333333334,0.3333333333333333,53.0,1.0,all containers
140,1695116083,0.3333333333333333,4359.0,244.0,0.3333333333333333,53.0,1.0,all containers
141,1695116086,0.6666666666666666,4299.0,283.6666666666667,0.6666666666666666,53.0,1.0,all containers
142,1695116089,0.3333333333333333,4330.0,173.66666666666666,0.3333333333333333,53.0,1.0,all containers
143,1695116092,0.6666666666666666,4311.0,221.0,0.3333333333333333,54.0,1.0,all containers
144,1695116095,0.3333333333333333,4282.666666666666,211.66666666666669,0.3333333333333333,52.0,1.0,all containers
145,1695116098,0.6666666666666666,4291.666666666667,219.66666666666666,0.6666666666666666,52.0,1.0,all containers
146,1695116101,0.3333333333333333,3634.3333333333335,181.33333333333331,0.0,37.0,1.0,all containers
147,1695116104,0.6666666666666666,491.6666666666667,308.66666666666663,1.6666666666666667,0.0,1.0,all containers
148,1695116107,0.3333333333333333,576.0,314.33333333333337,0.3333333333333333,0.0,1.0,all containers
149,1695116110,0.6666666666666666,505.0,227.33333333333334,0.3333333333333333,1.0,1.0,all containers
150,1695116113,0.3333333333333333,498.33333333333337,195.33333333333331,0.0,0.0,1.0,all containers
151,1695116116,0.6666666666666666,551.6666666666666,473.0,0.3333333333333333,37.0,1.0,all containers
152,1695116119,0.3333333333333333,8089.666666666667,156.66666666666666,0.3333333333333333,69.0,1.0,all containers
153,1695116122,0.6666666666666666,8094.333333333333,228.0,0.3333333333333333,71.0,1.0,all containers
154,1695116125,0.3333333333333333,8121.333333333333,189.66666666666669,0.3333333333333333,73.0,1.0,all containers
155,1695116128,0.6666666666666666,8112.999999999999,238.66666666666666,0.3333333333333333,69.0,1.0,all containers
156,1695116131,0.3333333333333333,8093.0,177.33333333333331,0.0,71.0,1.0,all containers
157,1695116134,0.6666666666666666,8052.333333333333,259.0,0.3333333333333333,70.0,1.0,all containers
158,1695116137,0.3333333333333333,8124.666666666667,206.66666666666666,0.0,71.0,1.0,all containers
159,1695116140,0.6666666666666666,8070.0,194.33333333333334,0.3333333333333333,69.0,1.0,all containers
160,1695116143,0.3333333333333333,8153.333333333333,247.33333333333334,0.3333333333333333,73.0,1.0,all containers
161,1695116146,0.6666666666666666,7219.666666666666,280.6666666666667,0.3333333333333333,71.0,1.0,all containers
162,1695116149,0.3333333333333333,558.6666666666666,220.0,1.6666666666666667,0.0,1.0,all containers
163,1695116152,0.6666666666666666,501.3333333333333,393.33333333333337,0.3333333333333333,0.0,1.0,all containers
164,1695116155,0.3333333333333333,510.3333333333333,199.0,0.3333333333333333,0.0,1.0,all containers
165,1695116158,0.6666666666666666,519.0,248.33333333333331,0.3333333333333333,0.0,1.0,all containers
166,1695116161,0.3333333333333333,554.3333333333334,306.3333333333333,0.3333333333333333,29.0,1.0,all containers
167,1695116164,0.3333333333333333,14641.666666666666,267.33333333333337,0.0,103.0,1.0,all containers
168,1695116167,0.6666666666666666,14694.999999999998,184.33333333333331,0.6666666666666666,102.0,1.0,all containers
169,1695116170,0.3333333333333333,14652.0,237.0,0.3333333333333333,104.0,1.0,all containers
170,1695116173,0.6666666666666666,14684.0,216.66666666666669,0.0,103.0,1.0,all containers
171,1695116176,0.3333333333333333,14689.333333333332,258.3333333333333,0.3333333333333333,102.0,1.0,all containers
172,1695116179,0.6666666666666666,14724.333333333334,194.33333333333334,0.3333333333333333,104.0,1.0,all containers
173,1695116182,0.3333333333333333,14682.333333333334,200.66666666666666,0.3333333333333333,103.0,1.0,all containers
174,1695116185,0.6666666666666666,14684.333333333334,207.33333333333331,0.0,104.0,1.0,all containers
175,1695116188,0.3333333333333333,14705.666666666666,198.33333333333334,0.3333333333333333,103.0,1.0,all containers
176,1695116191,0.6666666666666666,13479.666666666666,193.33333333333334,0.3333333333333333,103.0,1.0,all containers
177,1695116194,0.3333333333333333,479.0,294.3333333333333,1.0,0.0,1.0,all containers
178,1695116197,0.6666666666666666,631.3333333333334,411.33333333333337,0.0,0.0,1.0,all containers
179,1695116200,0.3333333333333333,548.3333333333334,190.0,0.3333333333333333,0.0,1.0,all containers
180,1695116203,0.6666666666666666,535.3333333333333,265.33333333333337,0.3333333333333333,0.0,1.0,all containers
181,1695116206,0.3333333333333333,546.6666666666666,393.0,0.0,13.0,1.0,all containers
182,1695116209,0.6666666666666666,22380.333333333332,200.66666666666669,0.6666666666666666,116.0,1.0,all containers
183,1695116212,0.3333333333333333,23153.333333333332,188.33333333333334,0.0,114.0,1.0,all containers
184,1695116215,0.6666666666666666,23134.333333333332,238.0,0.3333333333333333,114.0,1.0,all containers
185,1695116218,0.3333333333333333,23147.666666666668,197.66666666666669,0.3333333333333333,114.0,1.0,all containers
186,1695116221,0.6666666666666666,23208.0,199.66666666666669,0.3333333333333333,113.0,1.0,all containers
187,1695116224,0.3333333333333333,23186.666666666668,250.0,0.6666666666666666,113.0,1.0,all containers
188,1695116227,0.6666666666666666,23193.0,199.33333333333331,0.0,114.0,1.0,all containers
189,1695116230,0.3333333333333333,23172.666666666664,225.33333333333334,0.6666666666666666,115.0,1.0,all containers
190,1695116233,0.6666666666666666,23188.666666666668,227.33333333333331,0.3333333333333333,114.0,1.0,all containers
191,1695116236,0.3333333333333333,23186.000000000004,262.66666666666663,0.0,115.0,1.0,all containers
192,1695116239,0.6666666666666666,1538.0,229.0,1.3333333333333333,0.0,1.0,all containers
193,1695116242,0.3333333333333333,516.6666666666666,503.33333333333337,0.3333333333333333,0.0,1.0,all containers
194,1695116245,0.6666666666666666,490.3333333333333,239.0,0.6666666666666666,0.0,1.0,all containers
195,1695116248,0.3333333333333333,513.6666666666666,220.66666666666666,0.0,0.0,1.0,all containers
196,1695116251,0.6666666666666666,556.6666666666666,300.0,0.6666666666666666,0.0,1.0,all containers
197,1695116254,0.0,258.3333333333333,272.0,0.3333333333333333,122.0,1.0,all containers
198,1695116257,0.6666666666666666,28902.333333333336,203.66666666666666,0.0,119.0,1.0,all containers
199,1695116260,0.3333333333333333,28773.333333333336,231.66666666666669,0.6666666666666666,120.0,1.0,all containers
200,1695116263,0.6666666666666666,28824.333333333332,251.0,0.0,121.0,1.0,all containers
201,1695116266,0.3333333333333333,28942.333333333336,282.3333333333333,0.6666666666666666,120.0,1.0,all containers
202,1695116269,0.6666666666666666,28741.0,197.33333333333331,0.6666666666666666,121.0,1.0,all containers
203,1695116272,0.3333333333333333,28951.666666666664,203.0,0.0,122.0,1.0,all containers
204,1695116275,0.6666666666666666,28807.666666666668,231.66666666666666,0.3333333333333333,121.0,1.0,all containers
205,1695116278,0.3333333333333333,28896.0,214.0,0.3333333333333333,121.0,1.0,all containers
206,1695116281,0.6666666666666666,28810.333333333336,203.0,0.3333333333333333,122.0,1.0,all containers
207,1695116284,0.3333333333333333,10954.666666666666,261.33333333333337,1.3333333333333333,8.0,1.0,all containers
208,1695116287,0.3333333333333333,534.6666666666666,585.0,0.0,0.0,1.0,all containers
209,1695116290,0.6666666666666666,504.33333333333337,190.33333333333334,0.6666666666666666,0.0,1.0,all containers
210,1695116293,0.3333333333333333,510.0,251.66666666666666,0.0,0.0,1.0,all containers
211,1695116296,0.3333333333333333,691.6666666666666,354.3333333333333,0.3333333333333333,0.0,1.0,all containers
212,1695116299,0.0,219.33333333333334,246.33333333333334,0.6666666666666666,119.0,1.0,all containers
213,1695116302,0.6666666666666666,28765.666666666668,188.66666666666666,0.0,120.0,1.0,all containers
214,1695116305,0.3333333333333333,28773.333333333336,239.66666666666666,0.6666666666666666,119.0,1.0,all containers
215,1695116308,0.6666666666666666,28717.666666666668,194.66666666666669,0.0,118.0,1.0,all containers
216,1695116311,0.3333333333333333,28833.0,236.0,0.3333333333333333,120.0,1.0,all containers
217,1695116314,0.6666666666666666,28676.000000000004,209.33333333333334,0.0,122.0,1.0,all containers
218,1695116317,0.3333333333333333,28928.666666666664,200.66666666666666,0.0,120.0,1.0,all containers
219,1695116320,0.6666666666666666,28901.666666666668,232.33333333333334,0.6666666666666666,120.0,1.0,all containers
220,1695116323,0.3333333333333333,28793.333333333332,306.3333333333333,0.0,123.0,1.0,all containers
221,1695116326,0.6666666666666666,28807.333333333332,289.3333333333333,0.6666666666666666,119.0,1.0,all containers
222,1695116329,0.3333333333333333,9800.666666666668,218.0,0.6666666666666666,0.0,1.0,all containers
223,1695116332,0.6666666666666666,531.0,596.0,0.3333333333333333,0.0,1.0,all containers
224,1695116335,0.3333333333333333,514.0,224.0,0.3333333333333333,0.0,1.0,all containers
225,1695116338,0.6666666666666666,545.3333333333334,214.66666666666669,0.0,0.0,1.0,all containers
226,1695116341,0.3333333333333333,513.6666666666666,282.6666666666667,0.3333333333333333,0.0,1.0,all containers
227,1695116344,0.6666666666666666,570.6666666666666,303.6666666666667,0.3333333333333333,71.0,1.0,all containers
228,1695116347,0.3333333333333333,4327.666666666667,194.33333333333334,0.3333333333333333,71.0,1.0,all containers
229,1695116350,0.6666666666666666,4332.666666666667,226.66666666666669,0.3333333333333333,73.0,1.0,all containers
230,1695116353,0.3333333333333333,4310.333333333334,222.0,0.3333333333333333,72.0,1.0,all containers
231,1695116356,0.6666666666666666,4306.0,263.6666666666667,0.3333333333333333,73.0,1.0,all containers
232,1695116359,0.3333333333333333,4361.0,184.99999999999997,0.0,73.0,1.0,all containers
233,1695116362,0.6666666666666666,4311.0,204.33333333333331,0.6666666666666666,73.0,1.0,all containers
234,1695116365,0.3333333333333333,4375.0,225.66666666666666,0.6666666666666666,75.0,1.0,all containers
235,1695116368,0.6666666666666666,4278.0,209.66666666666669,0.0,73.0,1.0,all containers
236,1695116371,0.3333333333333333,4322.666666666666,204.0,0.6666666666666666,72.0,1.0,all containers
237,1695116374,0.6666666666666666,1951.0,265.0,0.6666666666666666,2.0,1.0,all containers
238,1695116377,0.3333333333333333,525.0,383.6666666666667,1.0,1.0,1.0,all containers
239,1695116380,0.6666666666666666,542.6666666666666,195.33333333333331,0.3333333333333333,0.0,1.0,all containers
240,1695116383,0.3333333333333333,519.6666666666667,227.0,0.0,0.0,1.0,all containers
241,1695116386,0.6666666666666666,544.0,405.6666666666667,0.6666666666666666,0.0,1.0,all containers
242,1695116389,0.3333333333333333,570.3333333333334,241.0,0.0,102.0,1.0,all containers
243,1695116392,0.6666666666666666,8110.666666666667,207.33333333333331,0.6666666666666666,104.0,1.0,all containers
244,1695116395,0.3333333333333333,8107.666666666667,222.33333333333331,0.6666666666666666,104.0,1.0,all containers
245,1695116398,0.6666666666666666,8108.333333333333,213.66666666666666,0.0,104.0,1.0,all containers
246,1695116401,0.3333333333333333,8115.666666666666,213.66666666666669,0.6666666666666666,105.0,1.0,all containers
247,1695116404,0.6666666666666666,8098.333333333333,243.0,0.3333333333333333,103.0,1.0,all containers
248,1695116407,0.3333333333333333,8141.666666666667,197.33333333333334,0.3333333333333333,105.0,1.0,all containers
249,1695116410,0.6666666666666666,8090.666666666666,217.0,0.3333333333333333,106.0,1.0,all containers
250,1695116413,0.3333333333333333,8096.666666666667,230.33333333333334,0.0,105.0,1.0,all containers
251,1695116416,0.3333333333333333,8173.000000000001,272.66666666666663,0.6666666666666666,106.0,1.0,all containers
252,1695116419,0.6666666666666666,2589.333333333333,226.33333333333334,0.0,0.0,1.0,all containers
253,1695116422,0.3333333333333333,521.0,391.66666666666663,1.6666666666666667,2.0,1.0,all containers
254,1695116425,0.6666666666666666,531.3333333333334,218.0,0.3333333333333333,3.0,1.0,all containers
255,1695116428,0.3333333333333333,526.6666666666666,226.66666666666669,0.0,0.0,1.0,all containers
256,1695116431,0.6666666666666666,520.3333333333334,209.66666666666666,0.3333333333333333,0.0,1.0,all containers
257,1695116434,0.3333333333333333,514.0,376.6666666666667,0.3333333333333333,161.0,1.0,all containers
258,1695116437,0.6666666666666666,14735.0,194.66666666666666,0.6666666666666666,168.0,1.0,all containers
259,1695116440,0.3333333333333333,14746.0,168.66666666666669,0.3333333333333333,168.0,1.0,all containers
260,1695116443,0.6666666666666666,14758.333333333334,259.3333333333333,0.3333333333333333,168.0,1.0,all containers
261,1695116446,0.3333333333333333,14872.999999999998,260.3333333333333,0.3333333333333333,170.0,1.0,all containers
262,1695116449,0.6666666666666666,14737.666666666666,219.66666666666666,0.3333333333333333,168.0,1.0,all containers
263,1695116452,0.3333333333333333,14748.0,186.33333333333334,0.6666666666666666,169.0,1.0,all containers
264,1695116455,0.6666666666666666,14710.666666666668,263.0,0.0,172.0,1.0,all containers
265,1695116458,0.3333333333333333,14738.666666666666,185.66666666666666,0.3333333333333333,172.0,1.0,all containers
266,1695116461,0.6666666666666666,14729.333333333334,212.66666666666666,0.6666666666666666,173.0,1.0,all containers
267,1695116464,0.3333333333333333,8234.333333333334,242.0,0.0,59.0,1.0,all containers
268,1695116467,0.6666666666666666,548.3333333333333,477.3333333333333,1.3333333333333333,3.0,1.0,all containers
269,1695116470,0.3333333333333333,525.0,197.66666666666666,0.0,0.0,1.0,all containers
270,1695116473,0.6666666666666666,481.6666666666667,259.3333333333333,0.0,0.0,1.0,all containers
271,1695116476,0.3333333333333333,529.3333333333334,270.0,0.0,0.0,1.0,all containers
272,1695116479,0.3333333333333333,537.6666666666667,351.6666666666667,0.0,172.0,1.0,all containers
273,1695116482,0.3333333333333333,23180.0,176.66666666666666,0.6666666666666666,184.0,1.0,all containers
274,1695116485,0.6666666666666666,23178.333333333332,263.6666666666667,0.0,186.0,1.0,all containers
275,1695116488,0.3333333333333333,23245.666666666664,177.33333333333334,0.6666666666666666,186.0,1.0,all containers
276,1695116491,0.6666666666666666,23197.999999999996,228.0,0.6666666666666666,186.0,1.0,all containers
277,1695116494,0.3333333333333333,23225.999999999996,216.33333333333331,0.0,188.0,1.0,all containers
278,1695116497,0.6666666666666666,23263.666666666668,231.33333333333334,0.6666666666666666,188.0,1.0,all containers
279,1695116500,0.3333333333333333,23251.000000000004,168.33333333333331,0.3333333333333333,188.0,1.0,all containers
280,1695116503,0.6666666666666666,23238.333333333332,254.33333333333334,0.3333333333333333,189.0,1.0,all containers
281,1695116506,0.3333333333333333,23272.333333333332,259.3333333333333,0.3333333333333333,190.0,1.0,all containers
282,1695116509,0.6666666666666666,13364.000000000002,233.66666666666669,0.0,98.0,1.0,all containers
283,1695116512,0.3333333333333333,546.0,490.0,1.3333333333333333,2.0,1.0,all containers
284,1695116515,0.6666666666666666,508.0,252.0,0.0,0.0,1.0,all containers
285,1695116518,0.3333333333333333,490.6666666666667,178.66666666666669,0.3333333333333333,3.0,1.0,all containers
286,1695116521,0.6666666666666666,508.3333333333333,218.33333333333334,0.0,0.0,1.0,all containers
287,1695116524,0.3333333333333333,388.0,350.0,0.3333333333333333,130.0,1.0,all containers
288,1695116527,0.6666666666666666,28977.333333333336,199.33333333333331,0.3333333333333333,193.0,1.0,all containers
289,1695116530,0.3333333333333333,28969.333333333336,202.33333333333334,0.3333333333333333,194.0,1.0,all containers
290,1695116533,0.6666666666666666,29016.0,266.3333333333333,0.6666666666666666,194.0,1.0,all containers
291,1695116536,0.3333333333333333,29038.0,239.66666666666666,0.0,196.0,1.0,all containers
292,1695116539,0.3333333333333333,29019.666666666668,210.33333333333331,0.6666666666666666,196.0,1.0,all containers
293,1695116542,0.6666666666666666,29132.0,166.33333333333334,0.0,197.0,1.0,all containers
294,1695116545,0.3333333333333333,29014.333333333332,254.33333333333331,0.6666666666666666,199.0,1.0,all containers
295,1695116548,0.6666666666666666,28842.333333333332,171.0,0.3333333333333333,199.0,1.0,all containers
296,1695116551,0.3333333333333333,28920.666666666664,226.0,0.3333333333333333,198.0,1.0,all containers
297,1695116554,0.6666666666666666,19204.333333333336,250.66666666666669,0.3333333333333333,192.0,1.0,all containers
298,1695116557,0.3333333333333333,526.3333333333334,621.3333333333334,1.3333333333333333,3.0,1.0,all containers
299,1695116560,0.6666666666666666,542.3333333333334,174.66666666666669,0.3333333333333333,0.0,1.0,all containers
300,1695116563,0.3333333333333333,506.66666666666663,239.66666666666666,0.3333333333333333,0.0,1.0,all containers
301,1695116566,0.6666666666666666,683.6666666666666,292.3333333333333,0.0,0.0,1.0,all containers
302,1695116569,0.3333333333333333,394.0,326.0,0.3333333333333333,99.0,1.0,all containers
303,1695116572,0.6666666666666666,28985.666666666664,202.33333333333334,0.0,194.0,1.0,all containers
304,1695116575,0.3333333333333333,29007.333333333336,232.0,0.6666666666666666,195.0,1.0,all containers
305,1695116578,0.6666666666666666,29005.666666666664,202.33333333333334,0.6666666666666666,197.0,1.0,all containers
306,1695116581,0.3333333333333333,28934.666666666668,201.66666666666666,0.0,200.0,1.0,all containers
307,1695116584,0.6666666666666666,28932.333333333332,226.66666666666666,0.6666666666666666,197.0,1.0,all containers
308,1695116587,0.3333333333333333,29081.333333333332,206.66666666666669,0.0,197.0,1.0,all containers
309,1695116590,0.6666666666666666,29008.666666666668,213.33333333333334,0.3333333333333333,199.0,1.0,all containers
310,1695116593,0.3333333333333333,28924.333333333332,232.66666666666666,0.0,199.0,1.0,all containers
311,1695116596,0.6666666666666666,29007.333333333332,252.33333333333334,0.3333333333333333,198.0,1.0,all containers
312,1695116599,0.3333333333333333,19436.666666666668,198.0,0.3333333333333333,48.0,1.0,all containers
313,1695116602,0.6666666666666666,548.6666666666666,600.6666666666666,1.0,2.0,1.0,all containers
314,1695116605,0.3333333333333333,522.0,205.66666666666666,0.3333333333333333,0.0,1.0,all containers
315,1695116608,0.6666666666666666,519.0,249.66666666666669,0.6666666666666666,0.0,1.0,all containers
316,1695116611,0.3333333333333333,517.6666666666667,174.33333333333331,0.0,0.0,1.0,all containers
